,0
0,0.8707999999999999
1,0.6290333333333333
2,0.7951333333333332
3,0.6667166666666666
4,0.5403166666666668
5,0.7593833333333333
6,0.8638666666666667
7,0.7181333333333333
8,0.80965
9,0.9472
